DATE,DGS10_PCH
1965-01-01,0.69900
1965-04-01,0.13686
1965-07-01,0.94298
1965-10-01,5.34627
1966-01-01,6.64765
1966-04-01,0.16957
1966-07-01,7.61241
1966-10-01,-2.87779
1967-01-01,-8.36991
1967-04-01,5.43195
1967-07-01,8.66837
1967-10-01,7.52469
1968-01-01,-0.54655
1968-04-01,2.40888
1968-07-01,-5.00398
1968-10-01,5.66351
1969-01-01,6.99133
1969-04-01,3.01411
1969-07-01,7.86287
1969-10-01,6.61627
1970-01-01,0.88469
1970-04-01,4.54001
1970-07-01,-3.26889
1970-10-01,-8.20469
1971-01-01,-12.36560
1971-04-01,4.20166
1971-07-01,3.74115
1971-10-01,-9.21192
1972-01-01,2.44886
1972-04-01,1.80224
1972-07-01,2.38083
1972-10-01,1.36295
1973-01-01,3.57980
1973-04-01,3.13784
1973-07-01,6.03157
1973-10-01,-6.40551
1974-01-01,4.42418
1974-04-01,6.89783
1974-07-01,5.54156
1974-10-01,-3.59396
1975-01-01,-1.68892
1975-04-01,6.72981
1975-07-01,2.97679
1975-10-01,-2.75321
1976-01-01,-3.83524
1976-04-01,0.24482
1976-07-01,-0.52526
1976-10-01,-7.16474
1977-01-01,2.49070
1977-04-01,0.12298
1977-07-01,-0.09697
1977-10-01,3.23796
1978-01-01,5.40383
1978-04-01,3.96931
1978-07-01,1.91989
1978-10-01,3.88532
1979-01-01,3.29438
1979-04-01,0.10451
1979-07-01,-0.21855
1979-10-01,14.76391
1980-01-01,14.54260
1980-04-01,-12.36376
1980-07-01,4.42944
1980-10-01,13.37866
1981-01-01,4.39385
1981-04-01,6.09869
1981-07-01,7.99071
1981-10-01,-4.86383
1982-01-01,1.07186
1982-04-01,-2.28461
1982-07-01,-5.95008
1982-10-01,-18.67727
1983-01-01,-1.00877
1983-04-01,-0.05564
1983-07-01,10.29769
1983-10-01,0.45341
1984-01-01,2.27005
1984-04-01,10.53537
1984-07-01,-2.57904
1984-10-01,-8.64215
1985-01-01,-1.48083
1985-04-01,-6.58532
1985-07-01,-4.50812
1985-10-01,-5.50939
1986-01-01,-12.27845
1986-04-01,-11.31121
1986-07-01,-3.84971
1986-10-01,-0.56720
1987-01-01,-0.94469
1987-04-01,15.94473
1987-07-01,6.31677
1987-10-01,2.92394
1988-01-01,-7.86572
1988-04-01,5.96708
1988-07-01,2.14002
1988-10-01,-1.60974
1989-01-01,2.84234
1989-04-01,-4.92497
1989-07-01,-7.42762
1989-10-01,-2.47135
1990-01-01,6.53557
1990-04-01,2.97080
1990-07-01,0.31292
1990-10-01,-3.39378
1991-01-01,-4.55789
1991-04-01,1.27929
1991-07-01,-2.15949
1991-10-01,-7.61006
1992-01-01,-0.51824
1992-04-01,0.94563
1992-07-01,-10.26679
1992-10-01,1.83679
1993-01-01,-7.15286
1993-04-01,-4.31596
1993-07-01,-6.22540
1993-10-01,0.01167
1994-01-01,8.44654
1994-04-01,16.40625
1994-07-01,3.36345
1994-10-01,6.94933
1995-01-01,-4.66904
1995-04-01,-11.65972
1995-07-01,-4.10524
1995-10-01,-6.80430
1996-01-01,0.20235
1996-04-01,13.59582
1996-07-01,0.92157
1996-10-01,-6.22414
1997-01-01,3.34907
1997-04-01,2.02052
1997-07-01,-6.82868
1997-10-01,-5.38108
1998-01-01,-5.33849
1998-04-01,0.03635
1998-07-01,-6.89560
1998-10-01,-10.47383
1999-01-01,7.26917
1999-04-01,10.80683
1999-07-01,6.16682
1999-10-01,4.45132
2000-01-01,5.26578
2000-04-01,-4.38271
2000-07-01,-4.77095
2000-10-01,-5.41943
2001-01-01,-9.45046
2001-04-01,4.59929
2001-07-01,-5.31544
2001-10-01,-4.67681
2002-01-01,6.65820
2002-04-01,0.53015
2002-07-01,-16.32853
2002-10-01,-6.26132
2003-01-01,-2.11841
2003-04-01,-7.63686
2003-07-01,16.76560
2003-10-01,1.36021
2004-01-01,-6.42126
2004-04-01,14.64082
2004-07-01,-6.43211
2004-10-01,-2.91997
2005-01-01,3.06049
2005-04-01,-3.36956
2005-07-01,1.36014
2005-10-01,6.47759
2006-01-01,1.98075
2006-04-01,10.82786
2006-07-01,-3.53276
2006-10-01,-5.37136
2007-01-01,1.04493
2007-04-01,3.57043
2007-07-01,-2.22202
2007-10-01,-9.95692
2008-01-01,-14.09472
2008-04-01,5.90183
2008-07-01,-0.49915
2008-10-01,-16.24753
2009-01-01,-15.40951
2009-04-01,21.36386
2009-07-01,5.93288
2009-10-01,-1.52880
2010-01-01,7.32778
2010-04-01,-6.06178
2010-07-01,-20.27112
2010-10-01,3.37062
2011-01-01,20.11655
2011-04-01,-7.40410
2011-07-01,-24.58933
2011-10-01,-15.22221
2012-01-01,-0.32839
2012-04-01,-10.50092
2012-07-01,-10.10589
2012-10-01,4.00783
2013-01-01,14.29079
2013-04-01,1.80677
2013-07-01,36.26495
2013-10-01,1.39036
2014-01-01,0.77313
2014-04-01,-5.22373
2014-07-01,-4.63271
2014-10-01,-8.94422
2015-01-01,-13.49383
2015-04-01,9.93079
2015-07-01,2.71441
2015-10-01,-1.46825
2016-01-01,-12.61007
2016-04-01,-8.57281
2016-07-01,-10.61512
2016-10-01,36.71201
2017-01-01,14.39781
2017-04-01,-7.58847
2017-07-01,-0.86352
2017-10-01,5.80090
2018-01-01,16.32220
2018-04-01,5.87634
2018-07-01,0.10904
2018-10-01,4.01319
2019-01-01,-12.76481
2019-04-01,-11.83821
2019-07-01,-23.12723
2019-10-01,-0.33556
2020-01-01,-23.82538
